Date,QQQ,TLT,VGT,XLK
2010-01-04,40.39357376098633,57.18756103515625,48.37703323364258,18.809375762939453
2010-01-05,40.39357376098633,57.556907653808594,48.32501220703125,18.78511619567871
2010-01-06,40.14990997314453,56.78639602661133,47.986900329589844,18.574966430664062
2010-01-07,40.176029205322266,56.88190841674805,47.804840087890625,18.50222396850586
2010-01-08,40.50669479370117,56.85647964477539,48.177635192871094,18.623464584350586
2010-01-11,40.34136199951172,56.54443359375,47.96955108642578,18.550724029541016
2010-01-12,39.83666229248047,57.51231002807617,47.3366584777832,18.348642349243164
2010-01-13,40.33265686035156,56.843711853027344,47.85684585571289,18.526466369628906
2010-01-14,40.367469787597656,57.63969802856445,48.16029357910156,18.574966430664062
2010-01-15,39.897560119628906,57.99625015258789,47.56208038330078,18.316307067871094
2010-01-19,40.54151153564453,57.83069610595703,48.220970153808594,18.631546020507812
2010-01-20,39.95847702026367,58.41653823852539,47.59674835205078,18.332469940185547
2010-01-21,39.584312438964844,58.68398666381836,47.12859344482422,18.138477325439453
2010-01-22,38.42698669433594,58.58210754394531,45.35997009277344,17.507991790771484
2010-01-25,38.557491302490234,58.31462860107422,45.646080017089844,17.653491973876953
2010-01-26,38.59230041503906,58.333763122558594,45.646080017089844,17.6049861907959
2010-01-27,38.896873474121094,58.30194091796875,45.914825439453125,17.75048828125
2010-01-28,37.896156311035156,58.27007293701172,44.68374252319336,17.241249084472656
2010-01-29,37.23483657836914,58.779510498046875,43.678035736083984,16.942174911499023
2010-02-01,37.6438102722168,58.245914459228516,44.38029479980469,17.136167526245117
2010-02-02,37.98317337036133,58.41204833984375,44.76175308227539,17.305912017822266
2010-02-03,38.1920166015625,57.73469161987305,44.89179992675781,17.346323013305664
2010-02-04,37.08690643310547,58.64849090576172,43.57400131225586,16.861352920532227
2010-02-05,37.400142669677734,58.776275634765625,43.98148727416992,17.031089782714844
2010-02-08,37.130409240722656,58.85295104980469,43.756072998046875,16.958343505859375
2010-02-09,37.51327896118164,58.26509094238281,44.23291015625,17.103837966918945
2010-02-10,37.43498611450195,57.709136962890625,44.13753890991211,17.055347442626953
2010-02-11,38.000579833984375,57.39603042602539,44.718414306640625,17.233171463012695
2010-02-12,38.07890319824219,57.632442474365234,44.82244873046875,17.2655029296875
2010-02-16,38.566184997558594,57.741050720214844,45.46400451660156,17.524169921875
2010-02-17,38.78374481201172,57.082881927490234,45.672080993652344,17.572660446166992
2010-02-18,39.02738571166992,56.852848052978516,46.07087707519531,17.685827255249023
2010-02-19,39.00999069213867,57.15959167480469,46.01887512207031,17.6373233795166
2010-02-22,38.93166732788086,56.92315673828125,45.92349624633789,17.6049861907959
2010-02-23,38.42698669433594,57.811370849609375,45.307945251464844,17.386743545532227
2010-02-24,38.81855773925781,57.95195007324219,45.732765197753906,17.556495666503906
2010-02-25,38.80986022949219,58.2778205871582,45.59406280517578,17.507991790771484
2010-02-26,38.94906234741211,58.57819366455078,45.646080017089844,17.532243728637695
2010-03-01,39.51469039916992,58.55253219604492,46.38300323486328,17.758577346801758
2010-03-02,39.63652420043945,58.475643157958984,46.36565399169922,17.734323501586914
2010-03-03,39.680015563964844,58.328155517578125,46.39165115356445,17.74240493774414
2010-03-04,39.810543060302734,58.635921478271484,46.60840606689453,17.815155029296875
2010-03-05,40.41097640991211,57.86662673950195,47.19794845581055,18.033395767211914
2010-03-08,40.489295959472656,57.56538009643555,47.414703369140625,18.130395889282227
2010-03-09,40.71553039550781,57.57817077636719,47.59674835205078,18.211225509643555
2010-03-10,41.04618835449219,57.43073654174805,47.986900329589844,18.332469940185547
2010-03-11,41.20283126831055,57.64227294921875,48.1256217956543,18.405221939086914
2010-03-12,41.21154022216797,58.00126266479492,48.1256217956543,18.389060974121094
2010-03-15,41.10710525512695,57.92430877685547,47.96955108642578,18.37288475036621
2010-03-16,41.36818313598633,58.38588333129883,48.32501220703125,18.510303497314453
2010-03-17,41.48127746582031,58.635921478271484,48.602455139160156,18.566877365112305
2010-03-18,41.62052536010742,58.44355392456055,48.602455139160156,18.59113311767578
2010-03-19,41.368770599365234,58.50125503540039,48.1689567565918,18.480037689208984
2010-03-22,41.74334716796875,58.565338134765625,48.61979675292969,18.61788558959961
2010-03-23,42.030818939208984,58.28973388671875,49.113948822021484,18.796283721923828
2010-03-24,41.83045196533203,57.225589752197266,48.73247146606445,18.70708656311035
2010-03-25,41.769474029541016,56.86021041870117,48.810516357421875,18.739519119262695
2010-03-26,41.81302261352539,57.020484924316406,48.76715850830078,18.65032196044922
2010-03-29,42.01338577270508,56.80247497558594,48.74115753173828,18.70708656311035
2010-03-30,42.15276336669922,56.982017517089844,49.001258850097656,18.788179397583008
2010-03-31,41.952392578125,57.37299346923828,48.70648193359375,18.731412887573242
2010-04-01,41.952392578125,57.2327766418457,48.69780349731445,18.6989688873291
2010-04-05,42.34439468383789,56.280521392822266,49.365386962890625,18.91791343688965
2010-04-06,42.46636199951172,56.37055969238281,49.42606735229492,18.93412971496582
2010-04-07,42.361820220947266,57.09117889404297,49.304691314697266,18.86115074157715
2010-04-08,42.457645416259766,57.116943359375,49.31336212158203,18.893585205078125
2010-04-09,42.71025848388672,57.2520637512207,49.69483184814453,19.0395565032959
2010-04-12,42.745121002197266,57.554447174072266,49.894229888916016,19.080095291137695
2010-04-13,42.96288299560547,57.741050720214844,50.05028533935547,19.136857986450195
2010-04-14,43.476844787597656,57.33572006225586,50.94327926635742,19.412548065185547
2010-04-15,43.66847610473633,57.400028228759766,51.19467544555664,19.501754760742188
