,Strategy Return
2010-05-31,-0.07392373807784924
2010-06-30,0.05797811028343536
2010-07-31,-0.009463088941670583
2010-08-31,0.08390805846720406
2010-09-30,-0.025203305405958054
2010-10-31,0.06337889447931455
2010-11-30,-0.0017249906794455372
2010-12-31,0.04757093104590315
2011-01-31,0.039336373394525115
2011-02-28,0.024398081435350827
2011-03-31,-0.01938906454996281
2011-04-30,0.028730746105794625
2011-05-31,-0.01218697645872091
2011-06-30,-0.023231082061024422
2011-07-31,0.044145490244083874
2011-08-31,0.09667528982323081
2011-09-30,0.1320611743897302
2011-10-31,-0.038292343086743785
2011-11-30,0.01989113898777406
2011-12-31,0.03444850163270763
2012-01-31,0.07919197279720769
2012-02-29,-0.025969936013990114
2012-03-31,0.05053078891018403
2012-04-30,-0.011695174896917848
2012-05-31,-0.06338014037824491
2012-06-30,-0.016781926917830536
2012-07-31,0.038172820447385236
2012-08-31,-0.013188744370965622
2012-09-30,0.008884406381841847
2012-10-31,-0.06357424480152274
2012-11-30,0.013087321941052554
2012-12-31,-0.024876827881022523
2013-01-31,-0.03185350013035282
2013-02-28,0.005237827597221578
2013-03-31,0.02661566138403426
2013-04-30,0.02537337410524021
2013-05-31,0.03577469528095456
2013-06-30,-0.023952694109328765
2013-07-31,0.0631404539883762
2013-08-31,-0.0039594342919343495
2013-09-30,0.048321542905541026
2013-10-31,0.04956963865375874
2013-11-30,0.03551117187905639
2013-12-31,0.029270975523525422
2014-01-31,-0.023452924185734525
2014-02-28,0.0486048079898771
2014-03-31,-0.0017450382185210112
2014-04-30,0.020951624288892523
2014-05-31,0.037585122840123164
2014-06-30,-0.002513260008171758
2014-07-31,0.01182029491957648
2014-08-31,0.050094455844959196
2014-09-30,-0.007566134630235588
2014-10-31,0.026419357548177036
2014-11-30,0.045463611785873326
2014-12-31,-0.022406130208159847
2015-01-31,0.09815793973160969
2015-02-28,-0.06138354769168597
2015-03-31,0.010922410583047437
2015-04-30,-0.034251816068126884
2015-05-31,0.018553028647046554
2015-06-30,-0.02484085894532151
2015-07-31,0.045577572439135405
2015-08-31,-0.06824482590503522
2015-09-30,0.019668824427299336
2015-10-31,-0.004088552256150457
2015-11-30,0.007101473002800951
2015-12-31,-0.02753381088639939
2016-01-31,-0.06910428289007375
2016-02-29,0.03085927286570933
2016-03-31,-0.0009332017597475373
2016-04-30,-0.00736506009919613
2016-05-31,0.05344276952175053
2016-06-30,-0.02320183133997078
2016-07-31,0.021025498608712168
2016-08-31,0.011625824329257073
2016-09-30,-0.015083740090775732
2016-10-31,-0.005400238692036985
2016-11-30,0.005262351431450041
2016-12-31,0.013098232093570417
2017-01-31,0.035566520103769594
2017-02-28,0.04375047763559725
2017-03-31,0.020268960002711944
2017-04-30,0.027269870047093026
2017-05-31,0.044092957120133836
2017-06-30,-0.025369570425092913
2017-07-31,-0.006583777996458817
2017-08-31,0.031092036135458745
2017-09-30,0.007918320841638238
2017-10-31,0.0651438282323713
2017-11-30,0.010905098058100027
2017-12-31,0.0009514202082763212
2018-01-31,0.07551777683787053
2018-02-28,-0.01292791004996352
2018-03-31,-0.040788551517422555
2018-04-30,-0.00023408987125728142
2018-05-31,0.020044068962162376
2018-06-30,-0.0060989055420404
2018-07-31,0.027964067062465015
2018-08-31,0.057806814332786116
2018-09-30,0.0020447781733876624
2018-10-31,-0.08476503800819879
2018-11-30,-0.014671716412536395
2018-12-31,0.058535099543446156
2019-01-31,0.003785870916859224
2019-02-28,-0.01376406013339837
2019-03-31,0.04071212488818676
2019-04-30,0.06369977073762345
2019-05-31,-0.08664711123808666
2019-06-30,0.00950138679489032
2019-07-31,0.03498206761245526
2019-08-31,0.11049019799488513
2019-09-30,-0.026798725206710783
2019-10-31,-0.011131972993559502
2019-11-30,-0.004070436816165701
2019-12-31,0.043206173648373536
2020-01-31,0.03992595730137882
2020-02-29,-0.07300967119485613
2020-03-31,0.06376712561437525
2020-04-30,0.012189064534373184
2020-05-31,-0.01761937358465382
2020-06-30,0.06286686134908415
2020-07-31,0.05941639400316112
2020-08-31,0.11135634597243049
2020-09-30,-0.05778608765555282
2020-10-31,-0.030449325733383326
2020-11-30,0.1122578688923439
2020-12-31,0.05714922364312991
2021-01-31,-0.007037998181964933
2021-02-28,0.014802175662290251
2021-03-31,0.007393210436130726
2021-04-30,0.05187896428002614
2021-05-31,-0.009305753638396586
2021-06-30,0.0626214452232845
2021-07-31,0.03370373243840841
2021-08-31,0.035593209877813115
2021-09-30,-0.05839932660441027
2021-10-31,0.08177073954315683
2021-11-30,0.01996872384180093
2021-12-31,0.0324732731021351
2022-01-31,-0.06844168662463923
2022-02-28,-0.048774668304959246
2022-03-31,-0.05444366506983078
2022-04-30,-0.11017414257817437
2022-05-31,-0.006859009834143781
2022-06-30,-0.09255727941628356
2022-07-31,0.02431001238362529
2022-08-31,-0.06212755020861416
2022-09-30,-0.10535534206761243
2022-10-31,0.03999844058845681
2022-11-30,0.05372477620569183
2022-12-31,-0.08210256055709841
2023-01-31,0.09257464058188547
2023-02-28,-0.048505769589623826
2023-03-31,0.09698830424312699
2023-04-30,-0.0011919208628741185
2023-05-31,0.08917310357201647
2023-06-30,0.06053187502500079
2023-07-31,0.025825501445465138
2023-08-31,-0.014830099328283275
2023-09-30,-0.050798726620851276
2023-10-31,-0.02065484246585736
2023-11-30,0.12895550718504012
2023-12-31,0.041826814624943864
2024-01-31,0.027015973268474713
2024-02-29,0.04834875899497426
2024-03-31,0.012749657034815343
2024-04-30,-0.05647111231320001
2024-05-31,0.06151824634043623
