Date,QQQ,TLT,VGT,XLK
2010-06-29,40.74253425598145,61.79006805419922,47.11541458129883,18.085369911193848
2010-06-30,40.6227587890625,61.95080459594727,46.95623840332031,18.029616241455077
2010-07-01,40.49600631713867,62.10409996032715,46.78925956726074,17.971749572753907
2010-07-02,40.36227752685547,62.250340957641605,46.61655876159668,17.912421836853028
2010-07-06,40.227163314819336,62.4114867401123,46.44368446350098,17.855375785827636
2010-07-07,40.11775115966797,62.55588096618652,46.30444854736328,17.809557838439943
2010-07-08,40.0311784362793,62.675613479614256,46.191222229003905,17.77347801208496
2010-07-09,39.951428451538085,62.797976379394534,46.08146339416504,17.738053283691407
2010-07-12,39.85896896362305,62.91492874145508,45.96788970947266,17.700364074707032
2010-07-13,39.79390151977539,63.007322540283205,45.8921167755127,17.67582878112793
2010-07-14,39.720834732055664,63.114130935668946,45.80975440979004,17.648219413757325
2010-07-15,39.67460105895996,63.212499923706055,45.757042694091794,17.632777252197265
2010-07-16,39.61068611145019,63.31013542175293,45.68317695617676,17.608703575134278
2010-07-19,39.58146697998047,63.3622647857666,45.65404670715332,17.599238166809084
2010-07-20,39.58190177917481,63.43196678161621,45.65127227783203,17.599998054504393
2010-07-21,39.53037673950195,63.54933250427246,45.589890747070314,17.580308265686035
2010-07-22,39.49948585510254,63.654461975097654,45.557119369506836,17.572490844726563
2010-07-23,39.45798690795898,63.75485336303711,45.5092626953125,17.557546539306642
2010-07-26,39.43654891967773,63.845157318115234,45.48117294311523,17.55039447784424
2010-07-27,39.43078956604004,63.90206398010254,45.475277709960935,17.551354598999023
2010-07-28,39.41594573974609,63.9676513671875,45.45655082702637,17.54760124206543
2010-07-29,39.40648002624512,64.01412452697754,45.44319938659668,17.546107139587402
2010-07-30,39.405209426879885,64.07647987365722,45.432449188232425,17.545905113220215
2010-08-02,39.448771743774415,64.09428703308106,45.47337028503418,17.564542083740236
2010-08-03,39.48029922485352,64.11823547363281,45.50007339477539,17.578631134033202
2010-08-04,39.523183059692386,64.13666625976562,45.540647659301754,17.597271499633788
2010-08-05,39.56344596862793,64.15489517211914,45.57792739868164,17.615257492065428
2010-08-06,39.61119583129883,64.1908204650879,45.61902214050293,17.635672607421874
2010-08-09,39.635447387695315,64.25071960449219,45.63272026062012,17.646852226257323
2010-08-10,39.65723190307617,64.30767524719238,45.64225692749024,17.657207832336425
2010-08-11,39.6641219329834,64.37334396362304,45.640870056152345,17.6623433303833
2010-08-12,39.64607414245606,64.44767333984375,45.60185623168945,17.65481174468994
